Symbol;Name;Country;IPO Year;Sector;Industry
SRTS;Sensus Healthcare Inc. Common Stock;United States;2016;Health Care;Medical/Dental Instruments
SRV;Cushing MLP & Infrastructure Total Return Fund;United States;;;
SSAAU;Science Strategic Acquisition Corp. Alpha Unit;United States;2021;;
SSB;South State Corporation Common Stock;United States;;Finance;Major Banks
SSBI;Summit State Bank Common Stock;United States;2006;;
SSD;Simpson Manufacturing Company Inc. Common Stock;United States;;Capital Goods;Industrial Machinery/Components
SSKN;Strata Skin Sciences Inc. Common Stock;United States;;Health Care;Medical/Dental Instruments
SSL;Sasol Ltd. American Depositary Shares;South Africa;;Energy;Oil & Gas Production
SSNC;SS&C Technologies Holdings Inc. Common Stock;United States;2010;Technology;Computer Software: Prepackaged Software
SSNT;SilverSun Technologies Inc. Common Stock;United States;;Miscellaneous;Business Services
SSP;E.W. Scripps Company (The) Class A Common Stock;United States;;Consumer Services;Broadcasting
SSPK;Silver Spike Acquisition Corp. Class A Ordinary Shares;United States;2019;Technology;Computer Software: Prepackaged Software
SSPKU;Silver Spike Acquisition Corp. Units;United States;2019;Technology;Computer Software: Prepackaged Software
SSPKW;Silver Spike Acquisition Corp. Warrants;United States;2019;Technology;Computer Software: Prepackaged Software
SSRM;SSR Mining Inc. Common Stock;Canada;;Basic Industries;Precious Metals
SSSS;SuRo Capital Corp. Common Stock;United States;2011;;
SSTI;ShotSpotter Inc. Common Stock;United States;2017;Technology;Computer Software: Prepackaged Software
SSTK;Shutterstock Inc. Common Stock;United States;2012;Technology;EDP Services
SSY;SunLink Health Systems Inc. Common Stock;United States;;Health Care;Hospital/Nursing Management
SSYS;Stratasys Ltd. Ordinary Shares (Israel);United States;1994;Technology;Computer peripheral equipment
ST;Sensata Technologies Holding plc Ordinary Shares;Netherlands;2010;Capital Goods;Industrial Machinery/Components
STAA;STAAR Surgical Company Common Stock;United States;;Health Care;Ophthalmic Goods
STAF;Staffing 360 Solutions Inc. Common Stock (DE);United States;;Technology;Professional Services
STAG;Stag Industrial Inc. Common Stock;United States;2011;Consumer Services;Real Estate Investment Trusts
STAG.PRC;Stag Industrial Inc.;;;;
STAR          ;iStar Inc. Common Stock;United States;;Consumer Services;Real Estate Investment Trusts
STAR.PRD;iStar Inc.;;;;
STAR.PRG;iStar Inc.;;;;
STAR.PRI;iStar Inc.;;;;
STAY;Extended Stay America Inc. Paired Shares;United States;;Consumer Services;Hotels/Resorts
STBA;S&T Bancorp Inc. Common Stock;United States;;Finance;Major Banks
STC;Stewart Information Services Corporation Common Stock;United States;;Finance;Specialty Insurers
STCN;Steel Connect Inc. Common Stock;United States;;Miscellaneous;Business Services
STE;STERIS plc (Ireland) Ordinary Shares;United States;;Health Care;Industrial Specialties
STEP;StepStone Group Inc. Class A Common Stock;United States;2020;Finance;Investment Managers
STFC;State Auto Financial Corporation Common Stock;United States;1991;Finance;Property-Casualty Insurers
STG;Sunlands Technology Group American Depositary Shares representing Class A ordinary shares;;2018;Consumer Services;Other Consumer Services
STIC;Northern Star Acquisition Corp. Class A Common Stock;;2020;Finance;Business Services
STIC.U;Northern Star Acquisition Corp. Units each consisting of one share of common stock and one-third ofA one Warrant;;2020;;
STIC.WS;Northern Star Acquisition Corp. Redeemable warrants each whole warrant exercisable for shares of Class A common stock at an exercise price of $11.50 per share;;;;
STIM;Neuronetics Inc. Common Stock;United States;2018;Health Care;Medical/Dental Instruments
STK;Columbia Seligman Premium Technology Growth Fund Inc;United States;2009;;
STKL;SunOpta Inc. Common Stock;Canada;;Consumer Services;Farming/Seeds/Milling
STKS;The ONE Group Hospitality Inc. Common Stock;United States;;Consumer Services;Restaurants
STL;Sterling Bancorp;United States;;Finance;Major Banks
STL.PRA;Sterling Bancorp;;;;
STLA;Stellantis N.V. Common Shares;United Kingdom;2014;;
STLD;Steel Dynamics Inc.;United States;1996;Basic Industries;Steel/Iron Ore
STM;STMicroelectronics N.V. Common Stock;Switzerland;;Technology;Semiconductors
STMP;Stamps.com Inc.  Common Stock ($0.001 Par Value);United States;1999;Miscellaneous;Business Services
STN;Stantec Inc Common Stock;Canada;;Consumer Services;Military/Government/Technical
STND;Standard AVB Financial Corp. Common Stock;United States;;Finance;Major Banks
STNE;StoneCo Ltd. Class A Common Shares;Brazil;2018;Technology;EDP Services
STNG;Scorpio Tankers Inc. Common Shares;Monaco;2010;Transportation;Marine Transportation
STOK;Stoke Therapeutics Inc. Common Stock;United States;2019;Health Care;Major Pharmaceuticals
STON;StoneMor Inc. Common Stock;United States;2004;Consumer Services;Other Consumer Services
STOR;STORE Capital Corporation Common Stock;United States;2014;Consumer Services;Real Estate Investment Trusts
STPC.U;Star Peak Corp II Units each consisting of one share of Class A common stock and one-fourth of one redeemable warrant;;2021;;
STPK;Star Peak Energy Transition Corp. Class A Common Stock;United States;2020;Miscellaneous;Industrial Machinery/Components
STPK.U;Star Peak Energy Transition Corp. Units each consisting of one share of Class A common stock and one-third of one redeemable warrant;United States;2020;;
STPK.WS;Star Peak Energy Transition Corp. Warrants each whole warrant exercisable for one share of Class A common stock at an exercise price of $11.50;United States;;;
STRA;Strategic Education Inc. Common Stock;United States;1996;Consumer Services;Other Consumer Services
